timestamp,profile,mode,case_family,dataset,ratio,minsup_pct,minsup_abs,variant,warmup_runs,measured_runs,wall_sec_median,mining_sec_median,maxrss_kb_median,internal_mem_mb_median,patterns_median,nodes_visited_median,subtrees_pruned_raw_median,subtrees_pruned_effective,nodes_gated_median,status,notes
20260330_225929,journal,full,single_dense,SIGN,0.01,1.000000,8,Full,0,1,305.818,305.818,0,1227.060890197754,37265723,79803670,12112103,12112103,0,OK,"Used existing logs from logs_ablation_archive. Summary derived from 1 measured run(s) and 0 warmup run(s)."
20260330_225929,journal,full,single_dense,SIGN,0.01,1.000000,8,NoPrune,0,1,378.304,378.304,0,1227.4696044921875,37265723,99962672,14728858,NA,10667867,OK,"Used existing logs from logs_ablation_archive; raw pruned counter records temporal-witness detections before the no-prune guard. Summary derived from 1 measured run(s) and 0 warmup run(s)."
20260330_225929,journal,full,single_prune_stress,Kosarak25k,0.0005,0.050000,13,Full,1,3,89.99,89.846,951580,801.4335403442383,211039,28462200,22491700,22491700,0,OK,"Used existing logs from benchmark_logs."
