Dataset,Ratio,Algorithm,Run,Internal_MB,External_MB,Gap_Factor
MSNBC_small,0.02,BIDE+,run1,2801.87,2913.82,1.04
MSNBC_small,0.02,BIDE+,run2,2801.75,2913.11,1.04
MSNBC_small,0.02,BIDE+,run3,2801.13,2911.44,1.04
MSNBC_small,0.02,BIDE+,run1,2801.44,2913.3,1.04
MSNBC_small,0.02,TriBack-Clo,run1,337.43,343.28,1.02
MSNBC_small,0.02,TriBack-Clo,run2,321.43,337.57,1.05
MSNBC_small,0.02,TriBack-Clo,run3,337.43,348.33,1.03
MSNBC_small,0.05,BIDE+,run1,801.43,929.88,1.16
MSNBC_small,0.05,BIDE+,run2,801.43,931.36,1.16
MSNBC_small,0.05,BIDE+,run3,801.43,929.45,1.16
MSNBC_small,0.05,TriBack-Clo,run1,305.43,332.31,1.09
MSNBC_small,0.05,TriBack-Clo,run2,305.43,333.13,1.09
MSNBC_small,0.05,TriBack-Clo,run3,305.43,335.64,1.1
SIGN,0.01,BIDE+,run1,9803.88,9947.07,1.01
SIGN,0.01,BIDE+,run2,9803.83,9946.96,1.01
SIGN,0.01,BIDE+,run3,9803.87,9952.76,1.02
SIGN,0.01,BIDE+,run1,9803.81,9947.23,1.01
SIGN,0.01,BIDE+,run2,9803.94,9947.16,1.01
SIGN,0.01,BIDE+,run3,9803.85,9950.32,1.01
SIGN,0.01,TriBack-Clo,run1,1543.83,1643.27,1.06
SIGN,0.01,TriBack-Clo,run2,1576.13,1671.93,1.06
SIGN,0.01,TriBack-Clo,run3,1559.75,1654.64,1.06
SIGN,0.02,BIDE+,run1,9800.34,9944.13,1.01
SIGN,0.02,BIDE+,run2,9800.36,9943.78,1.01
SIGN,0.02,BIDE+,run3,9800.39,9944.29,1.01
SIGN,0.02,BIDE+,run1,9800.37,9942.96,1.01
SIGN,0.02,BIDE+,run2,9800.35,9942.25,1.01
SIGN,0.02,BIDE+,run3,9800.36,9942.24,1.01
SIGN,0.02,TriBack-Clo,run1,785.43,815.5,1.04
SIGN,0.02,TriBack-Clo,run2,801.43,813.56,1.02
SIGN,0.02,TriBack-Clo,run3,785.43,819.92,1.04
SIGN,0.05,BIDE+,run1,9798.67,9940.73,1.01
SIGN,0.05,BIDE+,run2,9798.61,9946.43,1.02
SIGN,0.05,BIDE+,run3,9798.66,9949.19,1.02
SIGN,0.05,BIDE+,run1,9798.66,9944.38,1.01
SIGN,0.05,BIDE+,run2,9798.66,9941.61,1.01
SIGN,0.05,BIDE+,run3,9798.63,9947.34,1.02
SIGN,0.05,CloFast,run1,9980.36,16528.49,1.66
SIGN,0.05,CloFast,run2,9769.38,16523.93,1.69
SIGN,0.05,CloFast,run3,9681.88,16542.32,1.71
SIGN,0.05,TriBack-Clo,run3,161.43,189.0,1.17
SIGN,0.05,TriBack-Clo,run1,161.43,187.14,1.16
SIGN,0.05,TriBack-Clo,run2,161.43,179.5,1.11
SIGN,0.1,BIDE+,run1,9797.94,9930.52,1.01
SIGN,0.1,BIDE+,run2,9798.08,9933.55,1.01
SIGN,0.1,BIDE+,run3,9798.19,9931.73,1.01
SIGN,0.1,BIDE+,run1,9798.18,9934.72,1.01
SIGN,0.1,BIDE+,run2,9798.16,9932.77,1.01
SIGN,0.1,BIDE+,run3,9798.06,9931.34,1.01
SIGN,0.1,CloFast,run1,4710.47,10730.19,2.28
SIGN,0.1,CloFast,run2,4399.63,10767.38,2.45
SIGN,0.1,CloFast,run3,5086.82,10744.68,2.11
SIGN,0.1,TriBack-Clo,run3,97.43,158.59,1.63
SIGN,0.1,TriBack-Clo,run2,113.43,151.6,1.34
SIGN,0.1,TriBack-Clo,run1,113.43,145.3,1.28
SIGN,0.2,BIDE+,run1,1845.77,1945.89,1.05
SIGN,0.2,BIDE+,run2,1846.04,1945.89,1.05
SIGN,0.2,BIDE+,run3,1846.06,1943.26,1.05
SIGN,0.2,BIDE+,run1,1845.88,1944.1,1.05
SIGN,0.2,BIDE+,run2,1845.96,1948.07,1.06
SIGN,0.2,BIDE+,run3,1845.98,1943.31,1.05
SIGN,0.2,CloFast,run1,1605.21,4323.28,2.69
SIGN,0.2,CloFast,run2,1796.72,4145.87,2.31
SIGN,0.2,CloFast,run3,1572.64,4357.5,2.77
SIGN,0.2,TriBack-Clo,run2,97.43,135.74,1.39
SIGN,0.2,TriBack-Clo,run3,113.43,128.71,1.13
SIGN,0.2,TriBack-Clo,run1,113.43,137.58,1.21
