dataset,minsup,algorithm,run_type,run_id,campaign_id,group,status,patterns,mining_s,wall_s,external_mem_mb,log_path
D200C20T20N2.5S6I4,30%,CloSpan,warmup,1,20260402_143133,D200C20T20N2.5S6I4_0.3_group,OK,317,235.925,235.925,4194.396560668945,logs_scalability_D/CloSpan_D200C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
D200C20T20N2.5S6I4,30%,CloSpan,measured,3,20260402_143133,D200C20T20N2.5S6I4_0.3_group,OK,317,234.625,234.625,13103.516067504883,logs_scalability_D/CloSpan_D200C20T20N2.5S6I4_0.3_run3_20260402_143133.log
D200C20T20N2.5S6I4,30%,CloSpan,measured,2,20260402_143133,D200C20T20N2.5S6I4_0.3_group,OK,317,234.824,234.824,13017.967086791992,logs_scalability_D/CloSpan_D200C20T20N2.5S6I4_0.3_run2_20260402_143133.log
D200C20T20N2.5S6I4,30%,CloSpan,measured,1,20260402_143133,D200C20T20N2.5S6I4_0.3_group,OK,317,228.645,228.645,12451.652961730957,logs_scalability_D/CloSpan_D200C20T20N2.5S6I4_0.3_run1_20260402_143133.log
D200C20T20N2.5S6I4,30%,ClaSP,warmup,1,20260402_143133,D200C20T20N2.5S6I4_0.3_group,OK,317,704.85,704.85,25804.956565856934,logs_scalability_D/ClaSP_D200C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
D200C20T20N2.5S6I4,30%,ClaSP,measured,3,20260402_143133,D200C20T20N2.5S6I4_0.3_group,OK,317,708.341,708.341,24360.99530029297,logs_scalability_D/ClaSP_D200C20T20N2.5S6I4_0.3_run3_20260402_143133.log
D200C20T20N2.5S6I4,30%,ClaSP,measured,2,20260402_143133,D200C20T20N2.5S6I4_0.3_group,OK,317,744.278,744.278,18672.088088989258,logs_scalability_D/ClaSP_D200C20T20N2.5S6I4_0.3_run2_20260402_143133.log
D200C20T20N2.5S6I4,30%,ClaSP,measured,1,20260402_143133,D200C20T20N2.5S6I4_0.3_group,OK,317,796.321,796.321,28413.555366516113,logs_scalability_D/ClaSP_D200C20T20N2.5S6I4_0.3_run1_20260402_143133.log
D150C20T20N2.5S6I4,30%,CloSpan,warmup,1,20260402_143133,D150C20T20N2.5S6I4_0.3_group,OK,322,171.667,171.667,11378.304061889648,logs_scalability_D/CloSpan_D150C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
D150C20T20N2.5S6I4,30%,CloSpan,measured,3,20260402_143133,D150C20T20N2.5S6I4_0.3_group,OK,322,181.946,181.946,5656.080390930176,logs_scalability_D/CloSpan_D150C20T20N2.5S6I4_0.3_run3_20260402_143133.log
D150C20T20N2.5S6I4,30%,CloSpan,measured,2,20260402_143133,D150C20T20N2.5S6I4_0.3_group,OK,322,171.968,171.968,8388.771598815918,logs_scalability_D/CloSpan_D150C20T20N2.5S6I4_0.3_run2_20260402_143133.log
D150C20T20N2.5S6I4,30%,CloSpan,measured,1,20260402_143133,D150C20T20N2.5S6I4_0.3_group,OK,322,178.917,178.917,7190.761032104492,logs_scalability_D/CloSpan_D150C20T20N2.5S6I4_0.3_run1_20260402_143133.log
D150C20T20N2.5S6I4,30%,ClaSP,warmup,1,20260402_143133,D150C20T20N2.5S6I4_0.3_group,OK,322,504.586,504.586,25695.229385375977,logs_scalability_D/ClaSP_D150C20T20N2.5S6I4_0.3_runwarmup1_20260402_143133.log
