campaign_id,dataset,minsup,algorithm,group,n_measured,n_ok,status_summary,patterns,count_consistent,output_equivalent,comparison_eligible,wall_min_s,wall_median_s,wall_max_s,wall_range_pct,mem_min_mb,mem_median_mb,mem_max_mb,mem_range_pct
20260110_133905,BIKE,1%,ClaSP,BIKE_0.01_group,3,3,3/3 OK,901,True,True,True,2.3,2.31,2.37,3.0303030303030427,1004.07421875,1007.43359375,1011.13671875,0.7010387626355645
20260118_211632,BIKE,1%,CloFast,BIKE_0.01_group,3,3,3/3 OK,901,True,True,True,7.13,7.14,7.22,1.2605042016806705,10027.06640625,10029.05078125,10029.3515625,0.022785369222302242
20260110_133905,BIKE,1%,CloSpan,BIKE_0.01_group,3,3,3/3 OK,901,True,True,True,2.13,2.14,2.15,0.9345794392523372,1006.55078125,1009.66015625,1010.59375,0.40042867146665223
20260112_163940,BIKE,1%,TriBack-Clo,BIKE_0.01_group,3,3,3/3 OK,901,True,True,True,0.29,0.3,0.3,3.3333333333333366,194.234375,195.57421875,200.5625,3.2356642099586552
20260110_133905,BIKE,10%,BIDE+,BIKE_0.1_group,3,3,3/3 OK,23,True,True,True,0.4,0.4,0.41,2.4999999999999885,195.06640625,197.96875,202.0703125,3.537884767166535
20260110_133905,BIKE,10%,ClaSP,BIKE_0.1_group,3,3,3/3 OK,23,True,True,True,0.73,0.74,0.75,2.7027027027027053,371.421875,374.71875,374.96484375,0.9455007922608623
20260118_211632,BIKE,10%,CloFast,BIKE_0.1_group,3,3,3/3 OK,23,True,True,True,4.33,4.37,4.41,1.8306636155606424,9942.078125,9942.62109375,9944.54296875,0.024790683731771873
20260110_133905,BIKE,10%,CloSpan,BIKE_0.1_group,3,3,3/3 OK,23,True,True,True,0.64,0.67,0.68,5.970149253731348,389.55078125,391.16796875,392.26953125,0.6950339028750038
20260112_163940,BIKE,10%,TriBack-Clo,BIKE_0.1_group,3,3,3/3 OK,23,True,True,True,0.21,0.22,0.22,4.545454545454549,192.19140625,194.09375,195.83984375,1.8797295121558526
20260110_133905,BIKE,2%,BIDE+,BIKE_0.02_group,3,3,3/3 OK,260,True,True,True,0.55,0.55,0.56,1.8181818181818195,342.8984375,349.10546875,349.3203125,1.839522887737633
20260110_133905,BIKE,2%,ClaSP,BIKE_0.02_group,3,3,3/3 OK,260,True,True,True,1.54,1.55,1.56,1.2903225806451624,733.015625,733.12109375,733.82421875,0.11029470532131992
20260118_211632,BIKE,2%,CloFast,BIKE_0.02_group,3,3,3/3 OK,260,True,True,True,5.06,5.08,5.19,2.5590551181102517,9945.16796875,9947.30078125,9949.16015625,0.040133374749510016
20260110_133905,BIKE,2%,CloSpan,BIKE_0.02_group,3,3,3/3 OK,260,True,True,True,1.32,1.35,1.38,4.444444444444431,765.2734375,793.484375,794.5625,3.691195872634543
20260112_163940,BIKE,2%,TriBack-Clo,BIKE_0.02_group,3,3,3/3 OK,260,True,True,True,0.24,0.25,0.31,28.000000000000004,195.6640625,197.99609375,200.4921875,2.438495077633318
20260110_133905,BIKE,20%,BIDE+,BIKE_0.2_group,3,3,3/3 OK,6,True,True,True,0.38,0.38,0.38,0.0,183.16015625,183.66015625,186.05078125,1.5738988025607759
20260110_133905,BIKE,20%,ClaSP,BIKE_0.2_group,3,3,3/3 OK,6,True,True,True,0.52,0.52,0.53,1.9230769230769247,283.375,286.59375,286.640625,1.139461345545742
20260118_211632,BIKE,20%,CloFast,BIKE_0.2_group,3,3,3/3 OK,6,True,True,True,4.29,4.31,4.33,0.928074245939676,9941.55078125,9942.8359375,9944.9609375,0.034297621638695576
20260110_133905,BIKE,20%,CloSpan,BIKE_0.2_group,3,3,3/3 OK,6,True,True,True,0.44,0.45,0.45,2.222222222222224,260.0390625,261.41796875,263.35546875,1.2686221478415491
20260112_163940,BIKE,20%,TriBack-Clo,BIKE_0.2_group,3,3,3/3 OK,6,True,True,True,0.2,0.21,0.21,4.761904761904753,184.546875,186.3359375,193.0703125,4.574231688398809
20260110_133905,BIKE,5%,BIDE+,BIKE_0.05_group,3,3,3/3 OK,49,True,True,True,0.44,0.44,0.45,2.2727272727272747,221.40234375,221.76953125,222.43359375,0.4650097757736953
20260110_133905,BIKE,5%,ClaSP,BIKE_0.05_group,3,3,3/3 OK,49,True,True,True,1.19,1.19,1.2,0.8403361344537823,528.94921875,532.71484375,534.3203125,1.008249312557287
20260118_211632,BIKE,5%,CloFast,BIKE_0.05_group,3,3,3/3 OK,49,True,True,True,4.59,4.6,4.64,1.0869565217391266,9943.484375,9945.15625,9946.91015625,0.03444673129192918
20260110_133905,BIKE,5%,CloSpan,BIKE_0.05_group,3,3,3/3 OK,49,True,True,True,0.9,0.94,0.96,6.382978723404249,512.2890625,513.15234375,517.30859375,0.9781756453294969
20260112_163940,BIKE,5%,TriBack-Clo,BIKE_0.05_group,3,3,3/3 OK,49,True,True,True,0.22,0.22,0.22,0.0,192.15234375,192.453125,193.94921875,0.933668912884631
20260109_074453,BMS2,0.0005%,BIDE+,BMS2_0.000005_group,3,3,3/3 OK,1691049,True,True,True,191.16,191.36,191.38,0.11496655518394588,9999.80078125,10000.9921875,10002.04296875,0.022419650550296964
20260110_133905,BMS2,0.0005%,ClaSP,BMS2_0.000005_group,1,1,1/1 OK,0,False,True,False,,,,,,,,
20260119_105918,BMS2,0.0005%,CloFast,BMS2_0.000005_group,1,1,1/1 OK,0,False,True,False,,,,,,,,
20260110_133905,BMS2,0.0005%,CloSpan,BMS2_0.000005_group,1,1,1/1 OK,0,False,True,False,,,,,,,,
20260111_231217,BMS2,0.0005%,TriBack-Clo,BMS2_0.000005_group,1,1,1/1 OK,0,False,True,False,,,,,,,,
20260109_074453,BMS2,0.001%,BIDE+,BMS2_0.00001_group,3,3,3/3 OK,1691049,True,True,True,191.63,192.05,192.17,0.2811767768810164,9978.390625,9992.8515625,9999.63671875,0.21261292251883182
20260110_133905,BMS2,0.001%,ClaSP,BMS2_0.00001_group,1,1,1/1 OK,0,False,True,False,,,,,,,,
20260119_105918,BMS2,0.001%,CloFast,BMS2_0.00001_group,1,1,1/1 OK,0,False,True,False,,,,,,,,
20260110_133905,BMS2,0.001%,CloSpan,BMS2_0.00001_group,1,1,1/1 OK,0,False,True,False,,,,,,,,
20260111_231217,BMS2,0.001%,TriBack-Clo,BMS2_0.00001_group,1,1,1/1 OK,0,False,True,False,,,,,,,,
20260109_074453,BMS2,0.005%,BIDE+,BMS2_0.00005_group,3,3,3/3 OK,1196295,True,True,True,76.06,76.2,78.34,2.99212598425197,9982.4609375,9982.6484375,9984.51171875,0.020543458610604807
20260110_133905,BMS2,0.005%,ClaSP,BMS2_0.00005_group,1,1,1/1 OK,0,False,True,False,,,,,,,,
20260119_105918,BMS2,0.005%,CloFast,BMS2_0.00005_group,1,1,1/1 OK,0,False,True,False,,,,,,,,
20260110_133905,BMS2,0.005%,CloSpan,BMS2_0.00005_group,1,1,1/1 OK,0,False,True,False,,,,,,,,
20260111_231217,BMS2,0.005%,TriBack-Clo,BMS2_0.00005_group,3,3,3/3 OK,1196295,True,True,True,44.6,44.89,45.2,1.3366005791935875,966.6171875,969.76171875,971.78125,0.5325083884169355
20260109_074453,BMS2,0.01%,BIDE+,BMS2_0.0001_group,3,3,3/3 OK,665411,True,True,True,49.24,49.83,51.01,3.552077062010829,9964.16015625,9971.5078125,9973.26953125,0.09135403763692333
20260110_133905,BMS2,0.01%,ClaSP,BMS2_0.0001_group,1,1,1/1 OK,0,False,True,False,,,,,,,,
20260119_105918,BMS2,0.01%,CloFast,BMS2_0.0001_group,1,1,1/1 OK,0,False,True,False,,,,,,,,
20260109_074453,BMS2,0.01%,CloSpan,BMS2_0.0001_group,3,3,3/3 OK,665411,True,True,True,686.64,690.51,698.04,1.6509536429595482,93968.8515625,93970.171875,94096.93359375,0.13630073106642382
20260111_231217,BMS2,0.01%,TriBack-Clo,BMS2_0.0001_group,3,3,3/3 OK,665411,True,True,True,14.27,14.4,14.72,3.1250000000000075,567.24609375,567.484375,570.19140625,0.5190120873372064
20260109_074453,BMS2,0.05%,BIDE+,BMS2_0.0005_group,3,3,3/3 OK,77529,True,True,True,11.87,11.92,11.92,0.41946308724832815,9967.94921875,9968.51171875,9970.37890625,0.024373623350714888
20260109_074453,BMS2,0.05%,ClaSP,BMS2_0.0005_group,3,3,3/3 OK,77529,True,True,True,53.47,53.73,54.0,0.9864135492276218,12703.640625,18526.71484375,19000.078125,33.98572036706285
20260119_105918,BMS2,0.05%,CloFast,BMS2_0.0005_group,1,1,1/1 OK,0,False,True,False,,,,,,,,
20260109_074453,BMS2,0.05%,CloSpan,BMS2_0.0005_group,3,3,3/3 OK,77529,True,True,True,107.78,109.04,109.85,1.8983859134262593,11727.21484375,11729.6328125,11744.09765625,0.14393300088651007
20260111_231217,BMS2,0.05%,TriBack-Clo,BMS2_0.0005_group,3,3,3/3 OK,77529,True,True,True,2.09,2.12,2.13,1.8867924528301903,352.8125,354.34765625,358.40234375,1.5775026732662352
20260110_133905,BMS2,0.1%,BIDE+,BMS2_0.001_group,3,3,3/3 OK,22245,True,False,False,4.44,4.59,4.78,7.407407407407404,1735.0703125,3068.8515625,3077.3671875,43.739387443898245
20260110_133905,BMS2,0.1%,ClaSP,BMS2_0.001_group,3,3,3/3 OK,22245,True,False,False,25.64,25.99,26.4,2.924201616006149,6325.10546875,6508.8046875,7026.86328125,10.781669541378445
20260119_105918,BMS2,0.1%,CloFast,BMS2_0.001_group,3,3,3/3 OK,23116,True,False,False,1930.03,1954.21,1977.66,2.437302029976313,36771.3515625,36826.1875,38505.85546875,4.709974135253615
20260110_133905,BMS2,0.1%,CloSpan,BMS2_0.001_group,3,3,3/3 OK,22245,True,False,False,43.68,43.935,44.19,1.1608057357459838,10505.73828125,10509.611328125,10513.484375,0.07370485461503709
20260111_231217,BMS2,0.1%,TriBack-Clo,BMS2_0.001_group,3,3,3/3 OK,22245,True,False,False,1.08,1.09,1.13,4.587155963302736,346.15625,348.07421875,354.99609375,2.5396433501296194
20260110_133905,BMS2,0.5%,BIDE+,BMS2_0.005_group,3,3,3/3 OK,408,True,True,True,0.62,0.62,0.63,1.6129032258064528,406.234375,406.70703125,408.14453125,0.46966393576457255
20260110_133905,BMS2,0.5%,ClaSP,BMS2_0.005_group,3,3,3/3 OK,408,True,True,True,2.84,2.87,2.9,2.0905923344947754,998.52734375,1000.58203125,1004.38671875,0.5855966644413994
20260119_105918,BMS2,0.5%,CloFast,BMS2_0.005_group,3,3,3/3 OK,408,True,True,True,41.2,41.38,42.47,3.0691155147414113,24251.83984375,24511.48828125,24638.8515625,1.5788993075791469
