timestamp,profile,mode,case_family,dataset,ratio,minsup_pct,minsup_abs,variant,warmup_runs,measured_runs,wall_sec_median,mining_sec_median,maxrss_kb_median,internal_mem_mb_median,patterns_median,nodes_visited_median,subtrees_pruned_raw_median,subtrees_pruned_effective,nodes_gated_median,status,notes
20260330_223736,paper,quick,single_dense,SIGN,0.01,1.000000,8,Full,0,1,305.818,305.818,0,1227.060890197754,37265723,79803670,12112103,12112103,0,OK,"Used existing logs from logs_ablation_archive."
20260330_223736,paper,quick,single_dense,SIGN,0.01,1.000000,8,NoPrune,0,1,378.304,378.304,0,1227.4696044921875,37265723,99962672,14728858,NA,10667867,OK,"Used existing logs from logs_ablation_archive; raw pruned counter records temporal-witness detections before the no-prune guard."
20260330_223736,paper,quick,multi_sparse,D20C50,0.005,0.500000,100,Full,0,1,195.529,195.529,0,416.85509490966797,482528,715242,285,285,38594,OK,"Used existing logs from logs_ablation_archive."
20260330_223736,paper,quick,multi_sparse,D20C50,0.005,0.500000,100,NoPrune,0,1,198.487,198.487,0,414.90047454833984,482528,715309,319,NA,38895,OK,"Used existing logs from logs_ablation_archive; raw pruned counter records temporal-witness detections before the no-prune guard."
20260330_223736,paper,quick,multi_sparse,D20C50,0.005,0.500000,100,NoGate,0,1,200.096,200.096,0,414.6928482055664,482528,715242,285,285,0,OK,"Used existing logs from logs_ablation_archive."
