timestamp,dataset,ratio,minsup_pct,variant,flags,wall_sec,mining_sec,cpu_pct,maxrss_kb,maxrss_mb,patterns,nodes_visited,subtrees_pruned,nodes_gated,exact_verifier_calls,eager_wasted_verifier_calls,status,run_type,log_file
2026-05-04_19:09:17,D5N1,0.004,0.4000,LazyDefault,"",493.80,493.702,100,972524,950,2906522,31904263,398097,15693152,3634958,0,OK,median_of_3,/home/icosi/habilitation-project/TriBack-Clo/experiments/logs_eager_verify/LazyDefault_D5N1_0p004_3_20260504_183615.log
2026-05-04_19:53:17,D5N1,0.004,0.4000,EagerBeforeGate,"--eager-verify",660.99,660.891,100,984796,962,2906522,31904263,398097,15693152,19328110,15693152,OK,median_of_3,/home/icosi/habilitation-project/TriBack-Clo/experiments/logs_eager_verify/EagerBeforeGate_D5N1_0p004_3_20260504_183615.log
2026-05-04_20:41:02,D20C20,0.001,0.1000,LazyDefault,"",720.37,720.262,100,1025584,1002,1464711,53518876,17006431,6996211,21426314,0,OK,median_of_3,/home/icosi/habilitation-project/TriBack-Clo/experiments/logs_eager_verify/LazyDefault_D20C20_0p001_3_20260504_183615.log
2026-05-04_21:34:36,D20C20,0.001,0.1000,EagerBeforeGate,"--eager-verify",800.68,800.577,100,1014932,991,1464711,53518876,17006431,6996211,28422525,6996211,OK,median_of_3,/home/icosi/habilitation-project/TriBack-Clo/experiments/logs_eager_verify/EagerBeforeGate_D20C20_0p001_3_20260504_183615.log
2026-05-04_21:36:26,D20C60,0.01,1.0000,LazyDefault,"",27.26,27.153,109,760116,742,31662,32148,0,82,32045,0,OK,median_of_3,/home/icosi/habilitation-project/TriBack-Clo/experiments/logs_eager_verify/LazyDefault_D20C60_0p01_3_20260504_183615.log
2026-05-04_21:38:17,D20C60,0.01,1.0000,EagerBeforeGate,"--eager-verify",27.46,27.351,109,758740,741,31662,32148,0,82,32127,82,OK,median_of_3,/home/icosi/habilitation-project/TriBack-Clo/experiments/logs_eager_verify/EagerBeforeGate_D20C60_0p01_3_20260504_183615.log
