timestamp,profile,mode,case_family,dataset,ratio,minsup_pct,minsup_abs,variant,warmup_runs,measured_runs,wall_sec_median,mining_sec_median,maxrss_kb_median,internal_mem_mb_median,patterns_median,nodes_visited_median,subtrees_pruned_raw_median,subtrees_pruned_effective,nodes_gated_median,status,notes
20260402_042929,full,full,single_dense,SIGN,0.01,1.000000,8,NoPrune,1,3,393.714,393.602,0,1800.661247253418,37265723,99962672,14728858,NA,0,OK,"Raw pruned counter records temporal-witness detections before the no-prune guard."
20260402_042929,full,full,single_prune_stress,Kosarak25k,0.0005,0.050000,13,NoPrune,1,3,7200,7200,0,0,0,0,0,NA,0,TIMEOUT,"Raw pruned counter records temporal-witness detections before the no-prune guard."
20260402_042929,full,full,multi_mixed,D20C20,0.001,0.100000,20,NoPrune,1,3,2444.996,2444.875,0,4469.19775390625,1464711,148672242,50123932,NA,26684444,OK,"Raw pruned counter records temporal-witness detections before the no-prune guard."
20260402_042929,full,full,multi_gate_heavy,D5N1,0.004,0.400000,20,NoPrune,1,3,547.159,547.054,0,801.5023574829102,2906522,33258436,1160413,NA,16642818,OK,"Raw pruned counter records temporal-witness detections before the no-prune guard."
20260402_042929,full,full,single_prune_sparse,BMS2,0.00005,0.005000,4,NoPrune,1,3,101.342,101.230,0,1233.9916534423828,1196295,60193074,21833808,NA,0,OK,"Raw pruned counter records temporal-witness detections before the no-prune guard."
20260402_042929,full,full,multi_mixed_heavy,D20C30,0.001,0.100000,20,NoPrune,1,3,7200,7200,0,0,0,0,0,NA,0,TIMEOUT,"Raw pruned counter records temporal-witness detections before the no-prune guard."
20260402_042929,full,full,multi_gate_family,D20C60,0.005,0.500000,100,NoPrune,1,3,773.033,772.925,0,801.5023574829102,1223050,2238953,4294,NA,138335,OK,"Raw pruned counter records temporal-witness detections before the no-prune guard."
20260402_042929,full,full,multi_gate_confirmation,D5N1.6,0.006,0.600000,30,NoPrune,1,3,35.860,35.369,0,161.50235748291016,236046,385695,4654,NA,82499,OK,"Raw pruned counter records temporal-witness detections before the no-prune guard."
